lat_r,lon_r,accident_count,latitude,longitude,total_casualties,avg_severity,risk_score
8.88,76.62,98,8.880081875142857,76.61969406163266,119.0,2.877551020408163,1264.2
26.46,80.29,86,26.46010995127907,80.29004988313953,134.0,2.8255813953488373,1238.4
26.76,94.18,96,26.760075943854165,94.17959036552084,110.0,2.8125,1152.0
26.74,94.18,96,26.740133759270833,94.17975603729167,109.0,2.8958333333333335,1142.4
26.45,74.64,81,26.45331539098765,74.64013337222222,129.0,2.814814814814815,1125.9
26.45,80.28,85,26.450630124823533,80.27968222905882,120.0,2.823529411764706,1105.0
26.45,80.33,82,26.44970529085366,80.3296421504878,124.0,2.902439024390244,1098.8
26.47,80.31,88,26.470052032386363,80.31026579761364,114.0,2.727272727272727,1091.2
26.46,74.63,82,26.46022389890244,74.63304105036586,123.0,2.8048780487804876,1090.6
26.76,94.2,87,26.760002519310344,94.20050649425286,115.0,2.8735632183908044,1087.5
27.11,93.62,94,27.105806344574468,93.61971153361702,101.0,2.904255319148936,1043.4
8.89,76.62,87,8.889837936781609,76.62060382195402,108.0,2.9310344827586206,1026.6
8.88,76.63,89,8.880025659123596,76.62983103932585,105.0,2.898876404494382,1023.5
8.89,76.67,89,8.88949481547191,76.6695137594382,104.0,2.898876404494382,1014.6
26.75,94.19,89,26.749533032022473,94.19008001932585,103.0,2.943820224719101,1005.7
26.74,94.22,89,26.73989554033708,94.21978625235954,103.0,2.8764044943820224,1005.7
8.87,76.69,89,8.86988719850562,76.68990700235956,102.0,2.932584269662921,996.8
8.87,76.63,88,8.869795761477272,76.63000660943182,102.0,2.875,985.6
8.89,76.64,87,8.890321684735632,76.63997109770115,101.0,2.9195402298850577,965.7
26.45,80.29,78,26.449573191666666,80.28998599846153,113.0,2.858974358974359,959.4
8.87,76.68,81,8.869474059333333,76.67972740728395,108.0,2.962962962962963,955.8
26.47,80.29,77,26.469942393246754,80.28968208246754,114.0,2.8051948051948052,954.8
25.78,87.5,84,25.779750808095237,87.49697064178571,103.0,2.9166666666666665,949.2
26.44,80.32,76,26.440268953289475,80.31952595223684,113.0,2.8289473684210527,934.8
26.45,80.32,78,26.45030880897436,80.31909327948718,107.0,2.8333333333333335,912.6
25.77,87.5,82,25.770085170487807,87.49743148743903,101.0,2.902439024390244,910.2
26.46,80.27,77,26.460138000259743,80.27009161402597,108.0,2.844155844155844,908.6
26.45,80.31,76,26.450229590921055,80.31008750855263,109.0,2.8684210526315788,904.4
26.73,94.21,82,26.729924715853656,94.21002394304878,100.0,2.902439024390244,902.0
8.88,76.65,84,8.879900506845237,76.65044703178572,97.0,2.9047619047619047,898.8
26.46,80.32,75,26.4601758796,80.32004849973333,109.0,2.88,892.5
26.46,80.28,76,26.459529106842105,80.28015218157896,106.0,2.8157894736842106,881.6
26.45,80.27,72,26.449938808194442,80.27050727069444,112.0,2.8472222222222223,878.4
26.47,74.63,74,26.46977810662162,74.63310827405405,106.0,2.8513513513513513,858.4
26.74,94.21,78,26.739449611538465,94.20957991282052,99.0,2.9358974358974357,850.2
8.87,76.65,83,8.870038735903615,76.6499284253012,91.0,2.891566265060241,838.3
8.87,76.66,80,8.8700298999,76.660045261125,94.0,2.9125,832.0
8.89,76.65,78,8.890054041589744,76.65058737410257,93.0,2.8974358974358974,803.4
26.47,80.27,75,26.4699126468,80.26977419653332,97.0,2.8133333333333335,802.5
8.88,76.66,76,8.880099970789473,76.66023152947368,94.0,2.9210526315789473,790.4
26.75,94.22,79,26.75001927886076,94.2205162529114,89.0,2.9367088607594938,782.1
26.46,80.3,71,26.459961900985917,80.30016320887324,100.0,2.915492957746479,781.0
8.87,76.64,79,8.869870612556962,76.63968445012658,88.0,2.8860759493670884,774.2
26.46,80.31,73,26.459457718767123,80.30891360712329,96.0,2.904109589041096,773.8
8.89,76.63,79,8.890658879670886,76.62997684164557,87.0,2.949367088607595,766.3
26.44,80.27,72,26.440258723472223,80.27026130375,96.0,2.8333333333333335,763.2
26.76,94.22,76,26.759636173552632,94.21976234184211,90.0,2.8815789473684212,760.0
26.47,80.28,66,26.469366348636363,80.27998829818182,103.0,2.787878787878788,745.8
8.88,76.64,76,8.879838822973685,76.64033470960526,88.0,2.8684210526315788,744.8
27.11,93.63,78,27.105802250000004,93.62985056166667,84.0,2.8333333333333335,733.2
26.75,94.21,73,26.74933359589041,94.21046244273973,89.0,2.9315068493150687,722.7
26.73,94.2,72,26.73011979527778,94.19953158125,89.0,2.875,712.8
26.73,94.22,75,26.73051682586667,94.22029538186668,85.0,2.9466666666666668,712.5
8.89,76.66,73,8.889729257931506,76.65975437356164,86.0,2.9726027397260273,700.8
26.44,80.28,64,26.44094149359375,80.2800635509375,98.0,2.890625,691.2
26.48,80.3,61,26.478549675901636,80.29998775737705,103.0,2.819672131147541,689.3
26.72,94.21,70,26.720959789714286,94.21016406985714,88.0,2.942857142857143,686.0
26.45,80.3,67,26.44990910283582,80.30004287940298,92.0,2.8507462686567164,683.4
26.47,80.33,69,26.470465305072466,80.33036512043479,89.0,2.8840579710144927,683.1
26.76,94.21,69,26.760180150289855,94.2091293557971,88.0,2.9420289855072466,676.2
26.73,94.17,71,26.729573690985916,94.17113280140846,85.0,2.971830985915493,674.5
26.76,94.19,72,26.760072434166666,94.18981470375,83.0,2.9027777777777777,669.6
26.48,80.28,64,26.47817368328125,80.27990842390625,92.0,2.875,652.8
26.44,80.3,68,26.44050487132353,80.30001756441176,86.0,2.823529411764706,652.8
26.45,80.34,63,26.450466469206347,80.33790698539683,88.0,2.746031746031746,617.4
26.73,94.19,69,26.729546303188407,94.1897693726087,79.0,2.927536231884058,614.1
26.74,94.2,67,26.740076408059704,94.20014970820895,79.0,2.955223880597015,596.3
26.74,94.19,66,26.74039928772727,94.18945849924242,79.0,2.8484848484848486,587.4
27.11,93.61,65,27.105855718923078,93.61130827430769,79.0,2.876923076923077,578.5
26.75,94.2,65,26.749922292153848,94.20054842153846,79.0,2.923076923076923,578.5
22.1,82.18,67,22.099655659850747,82.17976079074627,76.0,2.91044776119403,576.2
25.77,87.45,64,25.77012293359375,87.45311947375,80.0,2.890625,576.0
26.75,94.18,67,26.750008934029854,94.18001576925373,75.0,2.8955223880597014,569.5
26.73,94.18,66,26.73010956257576,94.18023631212122,76.0,2.8636363636363638,567.6
26.47,80.3,57,26.469737871929826,80.29999937070176,87.0,2.8771929824561404,552.9
8.87,76.61,65,8.870107868184615,76.61183557646154,75.0,2.8923076923076922,552.5
22.06,82.16,65,22.05984968323077,82.16000294492308,75.0,2.830769230769231,552.5
26.46,80.33,58,26.459703603103446,80.329729975,85.0,2.793103448275862,551.0
26.45,74.65,62,26.453478687419352,74.65027918193547,78.0,2.7903225806451615,545.6
26.75,94.17,63,26.750197308888886,94.17067580031745,74.0,2.9206349206349205,529.2
22.07,82.12,62,22.069647597741934,82.12011956032258,73.0,2.870967741935484,514.6
25.78,87.45,60,25.779508295333336,87.45320225949999,74.0,2.8833333333333333,504.0
26.44,80.29,57,26.441043913157895,80.29018394070175,78.0,2.8947368421052633,501.6
26.72,94.18,61,26.72127321262295,94.17943590639344,71.0,2.901639344262295,494.1
26.76,94.17,60,26.760430167166664,94.17051995199999,71.0,2.966666666666667,486.0
26.44,80.31,54,26.44083667962963,80.3100371675926,78.0,2.7962962962962963,475.2
26.44,80.33,58,26.440484171551727,80.33077056293104,71.0,2.896551724137931,469.8
26.72,94.22,60,26.721417374833333,94.2201937015,67.0,2.95,462.0
26.74,94.17,57,26.740104443333333,94.17011293912282,67.0,2.8771929824561404,438.9
22.06,82.13,57,22.060622888070178,82.13031696578948,66.0,2.912280701754386,433.2
26.72,94.2,56,26.721037582678573,94.19950102339286,65.0,2.9107142857142856,420.0
22.07,82.18,55,22.07036917981818,82.1799820589091,66.0,2.9454545454545453,418.0
26.48,80.32,49,26.47903449755102,80.31928854530612,75.0,2.836734693877551,416.5
26.47,80.32,50,26.4704675582,80.3198843446,72.0,2.88,410.0
22.06,82.14,56,22.05949546892857,82.13987310875,62.0,2.8035714285714284,403.2
26.48,80.33,48,26.478487859374997,80.32916444770834,73.0,2.7916666666666665,398.4
22.07,82.14,56,22.07064772517857,82.13981938482142,61.0,2.9107142857142856,397.6
22.07,82.15,51,22.06939893980392,82.15001947568628,62.0,2.8823529411764706,367.2
22.06,82.15,54,22.059622991296298,82.15026920925926,58.0,2.888888888888889,367.2
22.09,82.14,53,22.089748875849057,82.14008953377359,59.0,2.943396226415094,365.7
19.2,72.86,48,19.199460592708334,72.860539990625,66.0,2.8333333333333335,364.8
26.48,80.29,48,26.478032772083335,80.28983640166666,66.0,2.8541666666666665,364.8
22.1,82.15,52,22.100660071538464,82.14972071038461,60.0,2.923076923076923,364.0
22.06,82.17,51,22.0599229172549,82.17011818764706,61.0,2.9019607843137254,362.1
22.06,82.18,52,22.059593524230767,82.17941646403847,59.0,2.8461538461538463,358.8
26.47,74.59,43,26.465382463023257,74.59037874744186,73.0,2.744186046511628,356.9
26.72,94.19,49,26.7210169,94.18992853224489,62.0,2.8979591836734695,352.8
8.89,76.61,48,8.890062138895834,76.61188788770833,63.0,2.8541666666666665,350.4
22.08,82.15,50,22.080625363,82.15039771420001,60.0,2.88,350.0
22.06,82.19,50,22.0600669356,82.19000245720001,60.0,2.84,350.0
26.46,80.34,47,26.459334337446812,80.33793899999999,62.0,2.851063829787234,338.4
26.76,94.23,51,26.760019557058826,94.22839882215685,55.0,2.9411764705882355,331.5
26.47,80.34,46,26.469882395217393,80.33800618695652,62.0,2.9130434782608696,331.2
22.07,82.17,49,22.070349584897958,82.17047902346938,57.0,2.8979591836734695,328.3
26.74,94.23,49,26.739869992040816,94.22848049020408,57.0,2.938775510204082,328.3
22.09,82.13,46,22.089754863478262,82.12992983391304,61.0,2.891304347826087,326.6
22.1,82.19,49,22.100379351428572,82.19005165469387,55.0,2.9183673469387754,318.5
18.58,73.9,43,18.580199614418603,73.90048256093023,64.0,2.7906976744186047,318.2
22.09,82.12,48,22.089763648749997,82.12026232979167,56.0,2.8541666666666665,316.8
26.72,94.17,47,26.721022778297872,94.17103235765957,57.0,2.893617021276596,314.9
22.1,82.12,47,22.099122969574466,82.11920093978723,57.0,2.8297872340425534,314.9
26.75,94.23,47,26.74984421765957,94.22795291531915,56.0,2.893617021276596,310.2
19.18,72.87,42,19.180170812857142,72.86969900904762,63.0,2.880952380952381,306.6
22.1,82.16,48,22.10024195125,82.160195891875,53.0,2.9166666666666665,302.4
26.48,80.27,45,26.478347022,80.26980020444445,57.0,2.8666666666666667,301.5
22.1,82.14,47,22.100225342553195,82.14029477404254,54.0,2.8085106382978724,300.8
8.88,76.61,46,8.879893352565217,76.61182427826087,55.0,2.847826086956522,299.0
22.08,82.17,45,22.080029216,82.17046994777778,56.0,2.8666666666666667,297.0
25.79,87.5,47,25.78859946319149,87.49704754276596,53.0,2.9574468085106385,296.1
22.76,75.86,41,22.761016141219514,75.85937573463414,62.0,2.7804878048780486,295.2
22.06,82.12,46,22.060387904565218,82.12058462152174,54.0,2.847826086956522,294.4
18.53,73.75,40,18.530211134749997,73.7496590075,63.0,3.0,292.0
18.6,73.82,40,18.599396126,73.82004196275,61.0,2.925,284.0
22.71,75.84,43,22.709049369069767,75.84035192372093,56.0,2.9069767441860463,283.8
22.08,82.11,46,22.080387476956524,82.11095411043479,50.0,2.891304347826087,276.0
22.08,82.13,47,22.080229160000002,82.1306240793617,48.0,2.851063829787234,272.6
22.08,82.12,45,22.079882866444446,82.12043432577778,50.0,2.8444444444444446,270.0
22.08,82.16,45,22.079361839999997,82.160161104,50.0,2.888888888888889,270.0
26.48,80.31,40,26.478193743,80.30996643825,57.0,2.825,268.0
22.73,75.91,43,22.72998185511628,75.90986233767443,52.0,2.7906976744186047,266.6
26.48,80.34,38,26.47821482763158,80.33775945236842,60.0,2.8947368421052633,266.0
22.1,82.17,45,22.100048888,82.17064502044445,49.0,2.933333333333333,265.5
18.62,73.84,35,18.619774142857143,73.83955306342857,65.0,2.8285714285714287,262.5
22.73,75.87,41,22.729743784390244,75.87034390829268,54.0,2.8048780487804876,262.4
26.77,94.19,43,26.76694535372093,94.1904685027907,50.0,2.9302325581395348,258.0
19.12,72.87,39,19.120090496923076,72.87023911230769,56.0,2.9743589743589745,257.4
22.09,82.19,44,22.090063344545456,82.19011626545455,48.0,2.909090909090909,255.2
18.6,73.87,38,18.599564151578946,73.86966690789474,57.0,2.8421052631578947,254.6
22.09,82.15,43,22.090847615116278,82.15099574395349,49.0,2.9069767441860463,253.7
19.2,72.87,38,19.19962780210526,72.87025539789474,56.0,2.8157894736842106,250.8
22.07,82.16,44,22.06896196909091,82.15962401704546,47.0,2.9318181818181817,250.8
19.09,72.93,35,19.089914785999998,72.93010287914286,61.0,2.942857142857143,248.5
22.76,75.87,38,22.760970327105262,75.87048915236842,55.0,2.8421052631578947,247.0
22.09,82.18,43,22.090572029069765,82.18009773395349,47.0,2.953488372093023,245.1
22.1,82.13,43,22.10010980744186,82.13049074372093,47.0,2.813953488372093,245.1
22.71,75.85,36,22.710712465555556,75.85034234694444,58.0,2.7777777777777777,244.8
26.46,74.58,36,26.4611070375,74.5842922638889,58.0,2.75,244.8
22.7,75.84,40,22.69977437375,75.83967239875,51.0,2.85,244.0
18.62,73.79,41,18.619336889512194,73.79025743853659,49.0,2.7804878048780486,241.9
25.79,87.45,41,25.788514030487804,87.4533446390244,49.0,2.902439024390244,241.9
22.08,82.19,41,22.079714169268293,82.19066014560975,49.0,2.8292682926829267,241.9
18.55,73.74,36,18.549853402500002,73.74012189638889,57.0,2.8333333333333335,241.2
22.09,82.16,43,22.089341354186047,82.16030136767442,46.0,2.9069767441860463,240.8
18.57,73.94,36,18.56945553,73.94051325944444,56.0,2.8333333333333335,237.6
19.13,72.86,36,19.130161609722222,72.86053886500001,56.0,2.9444444444444446,237.6
18.64,73.76,36,18.639373236944444,73.75942196166666,56.0,2.8055555555555554,237.6
18.6,73.89,37,18.599696806486488,73.88957061837839,54.0,2.7837837837837838,236.8
26.77,94.17,38,26.766938621315788,94.1708685818421,52.0,2.8157894736842106,235.6
22.76,75.84,30,22.760153861,75.839553412,68.0,2.566666666666667,234.0
18.56,73.88,36,18.559582964166665,73.87976324527777,55.0,2.9444444444444446,234.0
18.52,73.85,38,18.519617920526315,73.8501630636842,51.0,2.9210526315789473,231.8
19.14,72.85,35,19.139460518857145,72.85020611457144,56.0,2.742857142857143,231.0
22.07,82.13,42,22.070369192142856,82.1305048895238,45.0,2.9761904761904763,231.0
22.74,75.82,36,22.73958176111111,75.82000199916666,54.0,2.75,230.4
22.08,82.18,41,22.080195033414633,82.17948301414634,46.0,2.8780487804878048,229.6
26.77,94.22,41,26.767560362926833,94.21977633414635,46.0,2.926829268292683,229.6
18.52,73.88,37,18.520399805405408,73.87944114567567,52.0,2.864864864864865,229.4
22.74,75.91,35,22.739365089714287,75.90995178485714,55.0,2.942857142857143,227.5
19.2,72.92,36,19.20012736027778,72.92039831944444,53.0,2.8055555555555554,226.8
18.63,73.89,31,18.63010967612903,73.89039719096773,63.0,2.903225806451613,226.3
18.51,73.95,39,18.509128315897435,73.9496950497436,48.0,2.871794871794872,226.2
18.52,73.86,37,18.519804532162162,73.8596305427027,51.0,2.945945945945946,225.7
22.06,82.11,41,22.05978748317073,82.11096000195123,45.0,2.926829268292683,225.5
26.77,94.21,41,26.767397764390243,94.21003372878049,45.0,2.926829268292683,225.5
22.7,75.87,39,22.699320555128203,75.8696874302564,47.0,2.8205128205128207,222.3
19.08,72.88,37,19.079548292702704,72.8802317681081,50.0,2.864864864864865,222.0
22.72,75.89,37,22.720329234594594,75.89031942702702,50.0,2.864864864864865,222.0
22.75,75.89,37,22.74984248027027,75.88982722567567,50.0,2.7837837837837838,222.0
19.14,72.84,33,19.13978078666667,72.84055958848485,57.0,2.757575757575758,221.1
18.52,73.83,33,18.519450041515153,73.82986775939393,57.0,2.878787878787879,221.1
26.44,80.34,33,26.44108915242424,80.33817369575758,57.0,2.727272727272727,221.1
18.5,73.91,34,18.500625068235294,73.91015715058823,55.0,2.8823529411764706,221.0
18.55,73.93,35,18.54957580657143,73.93045863314285,53.0,2.7714285714285714,220.5
19.07,72.86,38,19.069717047105264,72.86034542210527,48.0,2.9473684210526314,220.4
22.07,82.19,40,22.069555833000003,82.18958450125,45.0,2.925,220.0
18.55,73.95,36,18.54951024638889,73.95042429083334,51.0,2.861111111111111,219.6
22.71,75.89,37,22.709950180270273,75.89047885702702,49.0,2.891891891891892,218.3
22.76,75.91,35,22.759469178285713,75.90945252228572,52.0,2.7714285714285714,217.0
26.72,94.23,39,26.721435014615388,94.22858463,45.0,2.948717948717949,214.5
18.57,73.81,33,18.569949926666666,73.80988417333333,55.0,2.9393939393939394,214.5
18.6,73.95,35,18.600745046857146,73.95078603085715,51.0,2.8,213.5
18.52,73.91,35,18.5202713,73.90962206742857,51.0,2.857142857142857,213.5
25.76,87.46,38,25.764050154736843,87.46035124421053,46.0,2.9210526315789473,212.8
18.53,73.77,36,18.530482125000002,73.76980528138888,49.0,2.8333333333333335,212.4
8.89,76.7,40,8.889857803125,76.69762476925,43.0,2.925,212.0
18.62,73.74,33,18.62001627030303,73.7401632121212,54.0,2.727272727272727,211.2
18.59,73.77,33,18.58905974545455,73.7699833969697,54.0,2.787878787878788,211.2
8.87,76.7,37,8.869323539864865,76.69732721567567,47.0,2.918918918918919,210.9
18.55,73.79,34,18.54950234911765,73.78997609205882,52.0,2.911764705882353,210.8
19.06,72.83,34,19.059639463235296,72.83006790147058,52.0,2.8823529411764706,210.8
19.07,72.92,35,19.07038970457143,72.91971265400001,50.0,2.8,210.0
22.75,75.83,38,22.750706730526314,75.82925617447368,45.0,2.8157894736842106,209.0
19.11,72.86,36,19.11041043111111,72.86090877305556,48.0,2.861111111111111,208.8
19.14,72.87,34,19.139786005882353,72.86958794147058,51.0,2.764705882352941,207.4
18.64,73.95,34,18.63912853529412,73.94966636558824,51.0,2.9411764705882355,207.4
22.71,75.83,35,22.709751574571428,75.83082736142858,49.0,2.8857142857142857,206.5
8.88,76.7,35,8.8800182168,76.69722814657143,49.0,2.8857142857142857,206.5
18.53,73.93,32,18.5301291409375,73.9296788203125,54.0,2.9375,204.8
18.51,73.85,34,18.510030733823527,73.85034598352941,50.0,2.7058823529411766,204.0
19.1,72.87,34,19.099963031764705,72.86953521705883,50.0,2.8529411764705883,204.0
22.7,75.83,34,22.699651288823528,75.82946935029412,50.0,2.7941176470588234,204.0
18.5,73.86,34,18.49946133235294,73.86012078588236,50.0,2.8529411764705883,204.0
19.13,72.88,37,19.129919570810813,72.87972299945946,45.0,2.891891891891892,203.5
19.2,72.9,36,19.199977193333336,72.89965146388889,46.0,2.888888888888889,201.6
26.48,74.65,32,26.475806456875,74.6490478453125,53.0,2.78125,201.6
19.08,72.87,33,19.080622802727273,72.87101183636364,51.0,2.9393939393939394,201.3
18.61,73.92,34,18.610937693235293,73.92062296264706,49.0,2.8823529411764706,200.6
19.17,72.88,35,19.170066978,72.88037588914285,47.0,2.857142857142857,199.5
19.11,72.89,31,19.109088260645162,72.89085086387097,54.0,2.870967741935484,198.4
18.64,73.78,31,18.640125243548386,73.77963550483871,54.0,2.870967741935484,198.4
19.15,72.87,33,19.149854486969694,72.87045678787878,50.0,2.8181818181818183,198.0
18.61,73.85,36,18.609731320555554,73.85007815166666,45.0,2.9166666666666665,198.0
19.06,72.88,36,19.060099523055555,72.88013623805556,45.0,2.8333333333333335,198.0
18.5,73.93,34,18.500680097058822,73.92905157647058,48.0,2.823529411764706,197.2
19.1,72.93,31,19.100025919354838,72.92987069516128,53.0,2.7419354838709675,195.3
19.19,72.88,31,19.19014628,72.87999617258065,53.0,2.903225806451613,195.3
19.08,72.86,32,19.08027224375,72.85946368875,51.0,2.75,195.2
18.6,73.92,32,18.59978084125,73.920251588125,51.0,2.90625,195.2
19.06,72.93,33,19.060464222424244,72.93027996242424,49.0,2.909090909090909,194.7
22.76,75.9,33,22.760094344545454,75.90019877848485,49.0,2.8484848484848486,194.7
18.55,73.75,33,18.5502638869697,73.75029900999999,49.0,2.8181818181818183,194.7
19.1,72.91,36,19.100571936944444,72.90979892444444,44.0,2.9166666666666665,194.4
26.47,74.6,34,26.46539599617647,74.6004867814706,47.0,2.764705882352941,193.8
19.1,72.9,35,19.09923510685714,72.89993456628572,45.0,2.8,192.5
22.72,75.85,35,22.719976215714286,75.85048720542856,45.0,2.857142857142857,192.5
22.08,82.14,37,22.079427431351352,82.14023393243244,42.0,2.945945945945946,192.4
22.09,82.11,37,22.08964896756757,82.11112371567567,42.0,2.918918918918919,192.4
19.11,72.84,33,19.110102691515152,72.83976119424243,48.0,2.878787878787879,191.4
18.61,73.88,29,18.61031126172414,73.88105886413794,56.0,2.9310344827586206,191.4
22.72,75.88,33,22.719696055151516,75.87979644757576,48.0,2.909090909090909,191.4
22.73,75.85,36,22.72930425611111,75.84972265361111,43.0,2.861111111111111,190.8
19.11,72.93,34,19.109596250294118,72.92991328441177,46.0,2.9411764705882355,190.4
18.59,73.84,32,18.5891881071875,73.839671531875,49.0,2.8125,188.8
18.55,73.91,32,18.5507639328125,73.9105249509375,49.0,2.8125,188.8
18.62,73.96,32,18.620538561875,73.9596050853125,49.0,3.0,188.8
19.14,72.86,37,19.140000745675675,72.86106654243244,41.0,2.891891891891892,188.7
22.05,82.19,37,22.05153406243243,82.19017494108108,41.0,2.945945945945946,188.7
19.09,72.86,33,19.089262351515153,72.86040054454546,47.0,2.8181818181818183,188.1
18.54,73.82,34,18.539723529117648,73.81953703970588,45.0,2.735294117647059,187.0
18.58,73.76,34,18.58006228911765,73.759819315,45.0,2.823529411764706,187.0
18.58,73.84,30,18.580807586,73.84109673033332,52.0,2.8333333333333335,186.0
18.51,73.74,32,18.5104777553125,73.7392967596875,48.0,2.9375,185.6
19.19,72.9,35,19.19060588657143,72.90114889314286,43.0,2.857142857142857,185.5
18.55,73.89,33,18.55068146787879,73.89032927515152,46.0,2.9393939393939394,184.8
26.46,74.66,33,26.4600305130303,74.65575380212121,46.0,2.878787878787879,184.8
22.75,75.84,33,22.749679725151516,75.83977756393939,46.0,2.9393939393939394,184.8
19.19,72.89,34,19.19101520117647,72.89013830117648,44.0,2.9411764705882355,183.6
19.19,72.87,34,19.19025107617647,72.87063999794117,44.0,2.9705882352941178,183.6
19.1,72.83,34,19.099515756176473,72.83009959941177,44.0,2.8823529411764706,183.6
26.73,94.23,36,26.73061710972222,94.22885341611112,41.0,2.861111111111111,183.6
19.13,72.85,34,19.129394241764704,72.85023616411765,44.0,2.823529411764706,183.6
18.53,73.89,31,18.53052635709677,73.89021851774194,49.0,2.967741935483871,182.9
19.2,72.85,32,19.1996626590625,72.8494286421875,47.0,2.875,182.4
18.54,73.87,33,18.539695116969696,73.86945659454545,45.0,2.909090909090909,181.5
19.12,72.85,33,19.119953317575757,72.84982672969697,45.0,2.9696969696969697,181.5
22.71,75.82,33,22.710102698484846,75.82029399545455,45.0,2.9393939393939394,181.5
18.58,73.77,33,18.57982788181818,73.76933508030304,45.0,2.8484848484848486,181.5
18.53,73.84,33,18.530486944242426,73.83938426909091,45.0,2.909090909090909,181.5
22.07,82.11,37,22.070314626216216,82.11078154135134,39.0,2.891891891891892,181.3
18.51,73.91,34,18.50980864352941,73.90938983,43.0,2.8529411764705883,180.2
18.53,73.8,30,18.529780735333336,73.79973642366667,50.0,2.8,180.0
19.12,72.92,30,19.119565870333336,72.91984513633334,50.0,2.7333333333333334,180.0
25.76,87.49,36,25.76402411277778,87.4907479886111,40.0,2.9722222222222223,180.0
22.74,75.85,32,22.7396713271875,75.850195925,46.0,2.84375,179.2
18.52,73.77,32,18.519484100625,73.7700983275,46.0,2.84375,179.2
18.55,73.87,32,18.5487988809375,73.868516235625,46.0,2.75,179.2
18.64,73.74,33,18.64068057939394,73.73927878727272,44.0,2.909090909090909,178.2
18.52,73.81,30,18.520044220666666,73.80942992700001,49.0,2.8666666666666667,177.0
19.18,72.89,29,19.17940051172414,72.89027413482759,51.0,2.8275862068965516,176.9
18.62,73.94,29,18.61951706,73.94114756758621,51.0,2.8275862068965516,176.9
18.57,73.83,29,18.569523186206894,73.82969254620689,51.0,2.689655172413793,176.9
18.64,73.84,34,18.640369747058823,73.84073703764705,42.0,2.8823529411764706,176.8
22.73,75.86,31,22.73089386451613,75.85997579935484,47.0,2.6451612903225805,176.7
18.64,73.82,31,18.639818667096772,73.82051791870968,47.0,2.935483870967742,176.7
22.05,82.17,36,22.051648019166667,82.1695458611111,39.0,2.9722222222222223,176.4
18.57,73.77,32,18.5707933003125,73.769393241875,45.0,2.8125,176.0
18.62,73.77,32,18.6209205471875,73.76949920125,45.0,2.65625,176.0
19.16,72.85,32,19.15970628625,72.8505219271875,45.0,2.84375,176.0
